reference	start	end	pockettorah_tokens	boundary_basis
Genesis-14-1	0.000000	13.397750	14	silence 12.861600-13.933900
Genesis-14-2	13.397750	30.044800	20	silence 29.801600-30.288000
Genesis-14-3	30.044800	35.610700	9	silence 35.336500-35.884900
Genesis-14-4	35.610700	43.030700	10	silence 42.698900-43.362500
Genesis-14-5	43.030700	64.083450	20	silence 63.080000-65.086900
Genesis-14-6	64.083450	71.791150	10	silence 71.557600-72.024700
Genesis-14-7	71.791150	87.097300	18	silence 86.296100-87.898500
Genesis-14-8	87.097300	103.699500	18	silence 103.340000-104.059000
Genesis-14-9	103.699500	117.688500	17	silence 117.384000-117.993000
Genesis-14-10	117.688500	131.498000	14	silence 131.075000-131.921000
Genesis-14-11	131.498000	139.766000	10	silence 139.638000-139.894000
Genesis-14-12	139.766000	148.765000	12	silence 148.487000-149.043000
Genesis-14-13	148.765000	166.539500	18	silence 165.504000-167.575000
Genesis-14-14	166.539500	179.725500	17	silence 179.452000-179.999000
Genesis-14-15	179.725500	190.738500	12	silence 190.252000-191.225000
Genesis-14-16	190.738500	201.687000	15	silence 201.003000-202.371000
Genesis-14-17	201.687000	218.549550	20	audited silence midpoint -20dB 217.896800-219.202300
Genesis-14-18	218.549550	225.340300	11	audited silence midpoint -20dB 225.036600-225.644000
Genesis-14-19	225.340300	231.247500	9	audited silence midpoint -20dB 230.951800-231.543200
Genesis-14-20	231.247500	241.920000	11	end of source
