threshold_db	duration	silence_start	silence_end	midpoint
-20	0.04	213.464800	213.513600	213.489200
-20	0.04	213.598800	213.737300	213.668050
-20	0.04	213.980700	214.097700	214.039200
-20	0.04	214.354700	214.770500	214.562600
-20	0.04	214.938900	214.997900	214.968400
-20	0.04	215.372900	215.572000	215.472450
-20	0.04	215.718700	215.769300	215.744000
-20	0.04	216.054600	216.362000	216.208300
-20	0.04	216.658300	216.844800	216.751550
-20	0.04	216.933200	217.115900	217.024550
-20	0.04	217.177300	217.289800	217.233550
-20	0.04	217.376400	217.467900	217.422150
-20	0.04	217.896800	219.202300	218.549550
-20	0.04	219.209800	219.277000	219.243400
-20	0.04	219.469500	219.579000	219.524250
-20	0.04	219.678000	219.823100	219.750550
-20	0.04	220.163400	220.235900	220.199650
-20	0.04	220.242400	220.318900	220.280650
-20	0.04	220.695300	220.833200	220.764250
-20	0.04	221.241000	221.286300	221.263650
-20	0.04	221.412200	221.571700	221.491950
-20	0.04	221.639700	221.693300	221.666500
-20	0.04	221.869800	221.966800	221.918300
-20	0.04	222.090200	222.187800	222.139000
-20	0.04	222.741000	222.790500	222.765750
-20	0.04	222.790600	223.287900	223.039250
-20	0.04	223.975400	224.030200	224.002800
-20	0.04	224.150500	224.201200	224.175850
-20	0.04	225.036600	225.644000	225.340300
-20	0.04	226.139600	226.219000	226.179300
-20	0.04	226.871600	226.943200	226.907400
-20	0.04	227.269000	227.609900	227.439450
-20	0.04	228.019100	228.163600	228.091350
-20	0.04	228.305800	228.356200	228.331000
-20	0.04	228.594700	228.657400	228.626050
-20	0.04	228.726100	228.791200	228.758650
-20	0.04	229.387600	229.554200	229.470900
-20	0.04	230.024900	230.079800	230.052350
-20	0.04	230.401200	230.442100	230.421650
-20	0.04	230.442300	230.500700	230.471500
-20	0.04	230.951800	231.543200	231.247500
-20	0.04	231.567900	231.615900	231.591900
-20	0.04	231.954600	232.107600	232.031100
-20	0.04	233.026500	233.123800	233.075150
-20	0.04	233.209600	233.272900	233.241250
-20	0.04	233.344000	233.408900	233.376450
-20	0.04	233.543700	233.690500	233.617100
-20	0.04	233.939400	234.041300	233.990350
-20	0.04	234.222800	234.308100	234.265450
-20	0.04	234.702800	234.828500	234.765650
-20	0.04	235.020100	235.556000	235.288050
-20	0.04	235.668700	235.761100	235.714900
-20	0.04	235.887900	235.938000	235.912950
-20	0.04	236.283100	236.363800	236.323450
-20	0.04	236.481100	236.628600	236.554850
-20	0.04	237.174000	237.297700	237.235850
-20	0.04	237.304500	237.369100	237.336800
-20	0.04	237.775800	237.903000	237.839400
-20	0.04	239.081300	241.752400	240.416850
-20	0.06	199.253970	199.339500	199.296735
-20	0.06	199.503110	199.645170	199.574140
-20	0.06	199.777030	199.966530	199.871780
-20	0.06	200.165350	200.314080	200.239715
-20	0.06	200.860230	202.407460	201.633845
-20	0.06	202.667280	202.791360	202.729320
-20	0.06	203.309770	203.469020	203.389395
-20	0.06	205.681700	205.771700	205.726700
-20	0.06	205.771700	206.167400	205.969550
-20	0.06	206.242600	206.344800	206.293700
-20	0.06	206.530700	206.630200	206.580450
-20	0.06	207.740200	208.100500	207.920350
-20	0.06	208.233100	208.314600	208.273850
-20	0.06	208.584400	208.726400	208.655400
-20	0.06	209.896400	210.314900	210.105650
-20	0.06	210.662300	210.774000	210.718150
