reference	method	evidence	actual_notion_audio
Genesis-14-1	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/381870	https://images.shulcloud.com/14396/438822.mp3
Genesis-14-2	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/381870	https://images.shulcloud.com/14396/438823.mp3
Genesis-14-3	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/381870	https://images.shulcloud.com/14396/438824.mp3
Genesis-14-4	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/381870	https://images.shulcloud.com/14396/438825.mp3
Genesis-14-5	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-5-study.mp3
Genesis-14-6	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-6-study.mp3
Genesis-14-7	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-7-study.mp3
Genesis-14-8	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-8-study.mp3
Genesis-14-9	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-9-study.mp3
Genesis-14-10	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-10-study.mp3
Genesis-14-11	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-11-study.mp3
Genesis-14-12	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-12-study.mp3
Genesis-14-13	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-13-study.mp3
Genesis-14-14	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-14-study.mp3
Genesis-14-15	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-15-study.mp3
Genesis-14-16	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-16-study.mp3
Genesis-14-17	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-17-study.mp3
Genesis-14-18	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-18-study.mp3
Genesis-14-19	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-19-study.mp3
Genesis-14-20	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/018/audio/018-Genesis-14-20-study.mp3
