reference	start	end	pockettorah_tokens	boundary_basis
Genesis-14-17	201.687000	218.549550	20	audited silence midpoint -20dB 217.896800-219.202300
Genesis-14-18	218.549550	225.340300	11	audited silence midpoint -20dB 225.036600-225.644000
Genesis-14-19	225.340300	231.247500	9	audited silence midpoint -20dB 230.951800-231.543200
Genesis-14-20	231.247500	241.920000	11	end of source
