reference	pockettorah_tokens
Genesis-14-1	14
Genesis-14-2	20
Genesis-14-3	9
Genesis-14-4	10
Genesis-14-5	20
Genesis-14-6	10
Genesis-14-7	18
Genesis-14-8	18
Genesis-14-9	17
Genesis-14-10	14
Genesis-14-11	10
Genesis-14-12	12
Genesis-14-13	18
Genesis-14-14	17
Genesis-14-15	12
Genesis-14-16	15
Genesis-14-17	20
Genesis-14-18	11
Genesis-14-19	9
Genesis-14-20	11
