reference	pockettorah_tokens
Genesis-18-15	11
Genesis-18-16	11
Genesis-18-17	8
Genesis-18-18	11
Genesis-18-19	25
Genesis-18-20	11
Genesis-18-21	11
Genesis-18-22	10
Genesis-18-23	8
Genesis-18-24	16
Genesis-18-25	20
Genesis-18-26	13
Genesis-18-27	12
Genesis-18-28	18
Genesis-18-29	14
Genesis-18-30	17
Genesis-18-31	16
Genesis-18-32	17
Genesis-18-33	10
