reference	pockettorah_tokens
Genesis-12-14	12
Genesis-12-15	12
Genesis-12-16	12
Genesis-12-17	13
Genesis-12-18	15
Genesis-12-19	13
Genesis-12-20	12
Genesis-13-1	11
Genesis-13-2	6
Genesis-13-3	18
Genesis-13-4	12
