reference	start	end	pockettorah_tokens	boundary_basis
Genesis-12-14	0.000000	10.141880	12	silence 9.925960-10.357800
Genesis-12-15	10.141880	19.086400	12	silence 18.800200-19.372600
Genesis-12-16	19.086400	28.767400	12	silence 28.480100-29.054700
Genesis-12-17	28.767400	37.920400	13	silence 37.630200-38.210600
Genesis-12-18	37.920400	48.598700	15	silence 48.073400-49.124000
Genesis-12-19	48.598700	60.000600	13	silence 59.672700-60.328500
Genesis-12-20	60.000600	69.233450	12	silence 69.128100-69.338800
Genesis-13-1	69.233450	81.974000	11	silence 81.660800-82.287200
Genesis-13-2	81.974000	88.447350	6	silence 88.137400-88.757300
Genesis-13-3	88.447350	101.548000	18	silence 101.241000-101.855000
Genesis-13-4	101.548000	111.778000	12	end of source
