reference	method	evidence	actual_notion_audio
Genesis-12-14	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/441357	https://images.shulcloud.com/14396/438797.mp3
Genesis-12-15	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/443968	https://images.shulcloud.com/14396/438799.mp3
Genesis-12-16	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/443968	https://images.shulcloud.com/14396/438798.mp3
Genesis-12-17	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/443968	https://images.shulcloud.com/14396/438800.mp3
Genesis-12-18	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/443968	https://images.shulcloud.com/14396/438802.mp3
Genesis-12-19	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-2.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/016/audio/016-Genesis-12-19-study.mp3
Genesis-12-20	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-2.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/016/audio/016-Genesis-12-20-study.mp3
Genesis-13-1	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/684292	https://images.shulcloud.com/14396/438805.mp3
Genesis-13-2	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/684292	https://images.shulcloud.com/14396/438804.mp3
Genesis-13-3	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/684292	https://images.shulcloud.com/14396/438806.mp3
Genesis-13-4	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/684292	https://images.shulcloud.com/14396/438807.mp3
