reference	pockettorah_tokens
Genesis-13-5	9
Genesis-13-6	14
Genesis-13-7	15
Genesis-13-8	18
Genesis-13-9	13
Genesis-13-10	25
Genesis-13-11	14
Genesis-13-12	11
Genesis-13-13	6
Genesis-13-14	21
Genesis-13-15	12
Genesis-13-16	16
Genesis-13-17	8
Genesis-13-18	12
