reference	method	evidence	actual_notion_audio
Genesis-13-5	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-5-study.mp3
Genesis-13-6	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-6-study.mp3
Genesis-13-7	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-7-study.mp3
Genesis-13-8	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-8-study.mp3
Genesis-13-9	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-9-study.mp3
Genesis-13-10	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-10-study.mp3
Genesis-13-11	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-11-study.mp3
Genesis-13-12	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-12-study.mp3
Genesis-13-13	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/445683	https://images.shulcloud.com/14396/438816.mp3
Genesis-13-14	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/445683	https://images.shulcloud.com/14396/438818.mp3
Genesis-13-15	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/445683	https://images.shulcloud.com/14396/438817.mp3
Genesis-13-16	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-16-study.mp3
Genesis-13-17	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-17-study.mp3
Genesis-13-18	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/017/audio/017-Genesis-13-18-study.mp3
