reference	start	end	pockettorah_tokens	boundary_basis
Genesis-13-5	0.000000	5.995905	9	silence 5.628590-6.363220
Genesis-13-6	5.995905	15.275500	14	silence 15.085300-15.465700
Genesis-13-7	15.275500	25.662650	15	silence 25.298300-26.027000
Genesis-13-8	25.662650	37.564450	18	silence 36.911700-38.217200
Genesis-13-9	37.564450	46.891100	13	silence 46.571200-47.211000
Genesis-13-10	46.891100	65.773800	25	silence 65.026200-66.521400
Genesis-13-11	65.773800	76.784550	14	silence 76.532200-77.036900
Genesis-13-12	76.784550	85.301250	11	silence 84.693900-85.908600
Genesis-13-13	85.301250	90.628750	6	silence 90.467900-90.789600
Genesis-13-14	90.628750	106.000000	21	silence 105.625000-106.375000
Genesis-13-15	106.000000	114.478000	12	silence 114.313000-114.643000
Genesis-13-16	114.478000	125.891500	16	silence 125.604000-126.179000
Genesis-13-17	125.891500	131.736500	8	silence 131.495000-131.978000
Genesis-13-18	131.736500	146.155000	12	end of source
