reference	words
Genesis-9-8	8
Genesis-9-9	9
Genesis-9-10	18
Genesis-9-11	17
Genesis-9-12	18
Genesis-9-13	10
Genesis-9-14	8
Genesis-9-15	20
Genesis-9-16	18
Genesis-9-17	16
