reference	start	end	words
Genesis-9-8	0.000000	5.374723	8
Genesis-9-9	5.374723	11.868415	9
Genesis-9-10	11.868415	24.048675	18
Genesis-9-11	24.048675	36.155559	17
Genesis-9-12	36.155559	49.051225	18
Genesis-9-13	49.051225	55.196386	10
Genesis-9-14	55.196386	61.213141	8
Genesis-9-15	61.213141	75.025995	20
Genesis-9-16	75.025995	86.032254	18
Genesis-9-17	86.032254	EOF	16
