reference	method	evidence	actual_notion_audio
Genesis-19-1	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-1-study.mp3
Genesis-19-2	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-2-study.mp3
Genesis-19-3	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-3-study.mp3
Genesis-19-4	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-4-study.mp3
Genesis-19-5	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-5-study.mp3
Genesis-19-6	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-6-study.mp3
Genesis-19-7	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-7-study.mp3
Genesis-19-8	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-8-study.mp3
Genesis-19-9	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-9-study.mp3
Genesis-19-10	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-10-study.mp3
Genesis-19-11	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-11-study.mp3
Genesis-19-12	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-12-study.mp3
Genesis-19-13	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-13-study.mp3
Genesis-19-14	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-14-study.mp3
Genesis-19-15	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-15-study.mp3
Genesis-19-16	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-16-study.mp3
Genesis-19-17	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-17-study.mp3
Genesis-19-18	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-18-study.mp3
Genesis-19-19	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-19-study.mp3
Genesis-19-20	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-3.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/024/audio/024-Genesis-19-20-study.mp3
