reference	pockettorah_tokens
Genesis-19-1	16
Genesis-19-2	20
Genesis-19-3	14
Genesis-19-4	15
Genesis-19-5	15
Genesis-19-6	7
Genesis-19-7	5
Genesis-19-8	29
Genesis-19-9	20
Genesis-19-10	12
Genesis-19-11	13
Genesis-19-12	18
Genesis-19-13	15
Genesis-19-14	22
Genesis-19-15	19
Genesis-19-16	16
Genesis-19-17	19
Genesis-19-18	6
Genesis-19-19	23
Genesis-19-20	17
