reference	pockettorah_tokens
Genesis-17-7	16
Genesis-17-8	16
Genesis-17-9	12
Genesis-17-10	13
Genesis-17-11	9
Genesis-17-12	19
Genesis-17-13	11
Genesis-17-14	15
Genesis-17-15	14
Genesis-17-16	14
Genesis-17-17	17
Genesis-17-18	8
Genesis-17-19	20
Genesis-17-20	18
Genesis-17-21	13
Genesis-17-22	7
Genesis-17-23	29
Genesis-17-24	8
Genesis-17-25	10
Genesis-17-26	7
Genesis-17-27	12
