reference	method	evidence	actual_notion_audio
Genesis-15-7	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/381985	https://images.shulcloud.com/14396/438854.mp3
Genesis-15-8	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/381985	https://images.shulcloud.com/14396/438852.mp3
Genesis-15-9	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/381985	https://images.shulcloud.com/14396/438853.mp3
Genesis-15-10	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-6.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/020/audio/020-Genesis-15-10-study.mp3
Genesis-15-11	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-6.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/020/audio/020-Genesis-15-11-study.mp3
Genesis-15-12	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-6.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/020/audio/020-Genesis-15-12-study.mp3
Genesis-15-13	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-6.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/020/audio/020-Genesis-15-13-study.mp3
Genesis-15-14	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-6.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/020/audio/020-Genesis-15-14-study.mp3
Genesis-15-15	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-6.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/020/audio/020-Genesis-15-15-study.mp3
Genesis-15-16	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-6.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/020/audio/020-Genesis-15-16-study.mp3
