reference	method	evidence	actual_notion_audio
Genesis-12-1	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/686258	https://images.shulcloud.com/14396/438786.mp3
Genesis-12-2	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/686258	https://images.shulcloud.com/14396/438783.mp3
Genesis-12-3	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/686258	https://images.shulcloud.com/14396/438785.mp3
Genesis-12-4	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/686258	https://images.shulcloud.com/14396/438787.mp3
Genesis-12-5	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/686259	https://images.shulcloud.com/14396/438788.mp3
Genesis-12-6	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/686259	https://images.shulcloud.com/14396/438792.mp3
Genesis-12-7	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/686259	https://images.shulcloud.com/14396/438789.mp3
Genesis-12-8	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/683772	https://images.shulcloud.com/14396/438791.mp3
Genesis-12-9	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/683772	https://images.shulcloud.com/14396/438790.mp3
Genesis-12-10	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-1.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/015/audio/015-Genesis-12-10-study.mp3
Genesis-12-11	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-1.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/015/audio/015-Genesis-12-11-study.mp3
Genesis-12-12	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/382031	https://images.shulcloud.com/14396/438796.mp3
Genesis-12-13	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/382031	https://images.shulcloud.com/14396/438795.mp3
