reference	pockettorah_tokens
Genesis-12-1	14
Genesis-12-2	8
Genesis-12-3	9
Genesis-12-4	17
Genesis-12-5	26
Genesis-12-6	12
Genesis-12-7	16
Genesis-12-8	20
Genesis-12-9	5
Genesis-12-10	12
Genesis-12-11	17
Genesis-12-12	12
Genesis-12-13	11
