reference	start	end	pockettorah_tokens	boundary_basis
Genesis-12-1	0.000000	12.322350	14	silence 11.970300-12.674400
Genesis-12-2	12.322350	20.341500	8	silence 19.980700-20.702300
Genesis-12-3	20.341500	29.718850	9	silence 29.358100-30.079600
Genesis-12-4	29.718850	45.700250	17	silence 45.505100-45.895400
Genesis-12-5	45.700250	65.879900	26	silence 65.663300-66.096500
Genesis-12-6	65.879900	75.644900	12	silence 75.272200-76.017600
Genesis-12-7	75.644900	88.227800	16	silence 87.667400-88.788200
Genesis-12-8	88.227800	106.420000	20	silence 106.199000-106.641000
Genesis-12-9	106.420000	111.789500	5	silence 110.782000-112.797000
Genesis-12-10	111.789500	121.441000	12	silence 121.243000-121.639000
Genesis-12-11	121.441000	133.770000	17	silence 133.467000-134.073000
Genesis-12-12	133.770000	143.509500	12	silence 143.162000-143.857000
Genesis-12-13	143.509500	154.227000	11	end of source
