reference	start	end	pockettorah_tokens	boundary_basis
Genesis-21-5	0.000000	6.007130	9	source start; late side of detected inter-verse pause
Genesis-21-6	6.007130	13.163600	10	previous shared boundary; late side of detected inter-verse pause
Genesis-21-7	13.163600	23.026100	11	previous shared boundary; late side of detected inter-verse pause
Genesis-21-8	23.026100	31.444300	11	previous shared boundary; late side of detected inter-verse pause
Genesis-21-9	31.444300	40.574000	10	previous shared boundary; late side of detected inter-verse pause
Genesis-21-10	40.574000	52.048000	17	previous shared boundary; late side of detected inter-verse pause
Genesis-21-11	52.048000	59.065600	8	previous shared boundary; late side of detected inter-verse pause
Genesis-21-12	59.065600	77.975400	23	previous shared boundary; late side of detected inter-verse pause
Genesis-21-13	77.975400	84.382500	9	previous shared boundary; late side of detected inter-verse pause
Genesis-21-14	84.382500	112.267000	21	previous shared boundary; late side of detected inter-verse pause
Genesis-21-15	112.267000	119.381000	10	previous shared boundary; late side of detected inter-verse pause
Genesis-21-16	119.381000	136.411000	19	previous shared boundary; late side of detected inter-verse pause
Genesis-21-17	136.411000	158.494000	28	previous shared boundary; late side of detected inter-verse pause
Genesis-21-18	158.494000	165.892000	12	previous shared boundary; late side of detected inter-verse pause
Genesis-21-19	165.892000	178.215000	15	previous shared boundary; late side of detected inter-verse pause
Genesis-21-20	178.215000	187.516000	10	previous shared boundary; late side of detected inter-verse pause
Genesis-21-21	187.516000	196.885000	9	previous shared boundary; end of source
