file	duration	leading_silence_ge_0.45
audio/026-Genesis-21-10-r2-study.mp3	17.057959	NO
audio/026-Genesis-21-11-r2-study.mp3	10.448980	NO
audio/026-Genesis-21-12-r2-study.mp3	28.107755	NO
audio/026-Genesis-21-13-r2-study.mp3	9.534694	YES
audio/026-Genesis-21-14-r2-study.mp3	41.456327	NO
audio/026-Genesis-21-15-r2-study.mp3	10.579592	NO
audio/026-Genesis-21-16-r2-study.mp3	25.312653	NO
audio/026-Genesis-21-17-r2-study.mp3	32.835918	NO
audio/026-Genesis-21-18-r2-study.mp3	11.023673	NO
audio/026-Genesis-21-19-r2-study.mp3	18.337959	NO
audio/026-Genesis-21-20-r2-study.mp3	13.844898	NO
audio/026-Genesis-21-21-r2-study.mp3	13.949388	NO
audio/026-Genesis-21-5-r2-study.mp3	8.933878	NO
audio/026-Genesis-21-6-r2-study.mp3	10.657959	NO
audio/026-Genesis-21-7-r2-study.mp3	14.680816	NO
audio/026-Genesis-21-8-r2-study.mp3	12.538776	NO
audio/026-Genesis-21-9-r2-study.mp3	13.583673	NO
