reference	pockettorah_tokens
Genesis-21-5	9
Genesis-21-6	10
Genesis-21-7	11
Genesis-21-8	11
Genesis-21-9	10
Genesis-21-10	17
Genesis-21-11	8
Genesis-21-12	23
Genesis-21-13	9
Genesis-21-14	21
Genesis-21-15	10
Genesis-21-16	19
Genesis-21-17	28
Genesis-21-18	12
Genesis-21-19	15
Genesis-21-20	10
Genesis-21-21	9
