reference	method	evidence	actual_notion_audio
Genesis-21-5	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-5-study.mp3
Genesis-21-6	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-6-study.mp3
Genesis-21-7	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-7-study.mp3
Genesis-21-8	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-8-study.mp3
Genesis-21-9	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-9-study.mp3
Genesis-21-10	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-10-study.mp3
Genesis-21-11	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-11-study.mp3
Genesis-21-12	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-12-study.mp3
Genesis-21-13	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-13-study.mp3
Genesis-21-14	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-14-study.mp3
Genesis-21-15	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-15-study.mp3
Genesis-21-16	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-16-study.mp3
Genesis-21-17	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-17-study.mp3
Genesis-21-18	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-18-study.mp3
Genesis-21-19	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-19-study.mp3
Genesis-21-20	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-20-study.mp3
Genesis-21-21	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/026/audio/026-Genesis-21-21-study.mp3
