reference	duration_seconds
Genesis-9-10	22.230204
Genesis-9-11	22.099592
Genesis-9-12	23.536327
Genesis-9-13	11.206531
Genesis-9-14	10.997551
Genesis-9-15	25.208163
Genesis-9-16	20.088163
Genesis-9-17	21.864490
Genesis-9-8	9.795918
Genesis-9-9	11.859592
