reference	method	evidence	actual_notion_audio
Genesis-18-1	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/687201	https://images.shulcloud.com/14396/433996.mp3
Genesis-18-2	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/687201	https://images.shulcloud.com/14396/433997.mp3
Genesis-18-3	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/687201	https://images.shulcloud.com/14396/433995.mp3
Genesis-18-4	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/687204	https://images.shulcloud.com/14396/433998.mp3
Genesis-18-5	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/687204	https://images.shulcloud.com/14396/433999.mp3
Genesis-18-6	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-1.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/022/audio/022-Genesis-18-6-study.mp3
Genesis-18-7	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-1.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/022/audio/022-Genesis-18-7-study.mp3
Genesis-18-8	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-1.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/022/audio/022-Genesis-18-8-study.mp3
Genesis-18-9	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/502696	https://images.shulcloud.com/14396/434003.mp3
Genesis-18-10	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/502696	https://images.shulcloud.com/14396/434005.mp3
Genesis-18-11	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/502696	https://images.shulcloud.com/14396/434004.mp3
Genesis-18-12	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/519643	https://images.shulcloud.com/14396/434006.mp3
Genesis-18-13	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/519643	https://images.shulcloud.com/14396/434007.mp3
Genesis-18-14	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/519643	https://images.shulcloud.com/14396/434008.mp3
