reference	pockettorah_tokens
Genesis-18-1	11
Genesis-18-2	15
Genesis-18-3	12
Genesis-18-4	9
Genesis-18-5	18
Genesis-18-6	14
Genesis-18-7	15
Genesis-18-8	15
Genesis-18-9	8
Genesis-18-10	16
Genesis-18-11	10
Genesis-18-12	11
Genesis-18-13	14
Genesis-18-14	10
