reference	pockettorah_tokens
Genesis-14-21	11
Genesis-14-22	14
Genesis-14-23	16
Genesis-14-24	16
Genesis-15-1	19
Genesis-15-2	16
Genesis-15-3	12
Genesis-15-4	15
Genesis-15-5	18
Genesis-15-6	5
