reference	method	evidence	actual_notion_audio
Genesis-14-21	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/019/audio/019-Genesis-14-21-study.mp3
Genesis-14-22	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/019/audio/019-Genesis-14-22-study.mp3
Genesis-14-23	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/019/audio/019-Genesis-14-23-study.mp3
Genesis-14-24	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/019/audio/019-Genesis-14-24-study.mp3
Genesis-15-1	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/382010	https://images.shulcloud.com/14396/438846.mp3
Genesis-15-2	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/382010	https://images.shulcloud.com/14396/438847.mp3
Genesis-15-3	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/382010	https://images.shulcloud.com/14396/438848.mp3
Genesis-15-4	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/382010	https://images.shulcloud.com/14396/438850.mp3
Genesis-15-5	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Lech-Lecha-5.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/019/audio/019-Genesis-15-5-study.mp3
Genesis-15-6	Sefaria Full Verse Chanted	https://www.sefaria.org/sheets/381985	https://images.shulcloud.com/14396/438851.mp3
