reference	start	end	pockettorah_tokens	boundary_basis
Genesis-11-1	0.000000	6.243515	7	silence 6.135530-6.351500
Genesis-11-2	6.243515	13.407550	9	silence 13.158000-13.657100
Genesis-11-3	13.407550	29.363400	17	silence 29.105600-29.621200
Genesis-11-4	29.363400	43.941400	17	silence 43.327800-44.555000
Genesis-11-5	43.941400	51.841850	11	silence 51.342700-52.341000
Genesis-11-6	51.841850	68.063150	19	silence 67.771200-68.355100
Genesis-11-7	68.063150	76.979200	11	silence 76.623500-77.334900
Genesis-11-8	76.979200	86.561350	11	silence 86.385600-86.737100
Genesis-11-9	86.561350	98.559050	19	silence 98.496300-98.621800
Genesis-11-10	98.559050	108.100500	13	silence 107.944000-108.257000
Genesis-11-11	108.100500	116.644500	12	silence 116.494000-116.795000
Genesis-11-12	116.644500	122.339000	8	silence 121.392000-123.286000
Genesis-11-13	122.339000	133.118500	14	silence 132.955000-133.282000
Genesis-11-14	133.118500	137.231000	7	silence 137.049000-137.413000
Genesis-11-15	137.231000	147.181000	14	silence 146.580000-147.782000
Genesis-11-16	147.181000	152.728000	8	silence 152.531000-152.925000
Genesis-11-17	152.728000	161.505000	14	silence 161.354000-161.656000
Genesis-11-18	161.505000	165.605500	7	silence 165.489000-165.722000
Genesis-11-19	165.605500	174.573000	13	silence 174.400000-174.746000
Genesis-11-20	174.573000	180.066000	8	silence 179.789000-180.343000
Genesis-11-21	180.066000	189.306500	13	silence 188.990000-189.623000
Genesis-11-22	189.306500	193.694000	7	silence 193.589000-193.799000
Genesis-11-23	193.694000	203.186500	11	silence 202.688000-203.685000
Genesis-11-24	203.186500	208.588000	8	silence 208.453000-208.723000
Genesis-11-25	208.588000	216.934000	14	silence 216.868000-217.000000
Genesis-11-26	216.934000	222.892000	11	silence 222.709000-223.075000
Genesis-11-27	222.892000	231.123500	15	silence 230.981000-231.266000
Genesis-11-28	231.123500	237.245500	10	silence 237.050000-237.441000
Genesis-11-29	237.245500	249.632500	19	silence 249.492000-249.773000
Genesis-11-30	249.632500	253.527500	6	silence 253.406000-253.649000
Genesis-11-31	253.527500	274.129500	29	silence 273.987000-274.272000
Genesis-11-32	274.129500	284.029500	10	end of source
