reference	pockettorah_tokens
Genesis-19-21	14
Genesis-19-22	17
Genesis-19-23	7
Genesis-19-24	12
Genesis-19-25	13
Genesis-19-26	6
Genesis-19-27	11
Genesis-19-28	17
Genesis-19-29	22
Genesis-19-30	17
Genesis-19-31	14
Genesis-19-32	10
Genesis-19-33	15
Genesis-19-34	21
Genesis-19-35	15
Genesis-19-36	5
Genesis-19-37	11
Genesis-19-38	15
Genesis-20-1	12
Genesis-20-2	14
Genesis-20-3	17
Genesis-20-4	10
Genesis-20-5	18
Genesis-20-6	24
Genesis-20-7	21
Genesis-20-8	15
Genesis-20-9	24
Genesis-20-10	11
Genesis-20-11	14
Genesis-20-12	13
Genesis-20-13	24
Genesis-20-14	13
Genesis-20-15	8
Genesis-20-16	18
Genesis-20-17	12
Genesis-20-18	14
Genesis-21-1	11
Genesis-21-2	11
Genesis-21-3	12
Genesis-21-4	12
