reference	source_duration	study_duration	leading_silence	trailing_silence	status
Genesis-20-9	24.164000	34.951837	0.095	0.191	pass
Genesis-20-10	8.110000	11.728980	0.000	0.000	pass
Genesis-20-11	9.872000	14.288980	0.000	0.000	pass
Genesis-20-12	8.511000	12.329796	0.000	0.236	pass
Genesis-20-13	23.559000	34.063673	0.000	0.109	pass
Genesis-20-14	13.135000	18.991020	0.000	0.000	pass
Genesis-20-15	7.270000	10.527347	0.000	0.112	pass
Genesis-20-16	15.499000	22.413061	0.000	0.389	pass
Genesis-20-17	11.839000	17.136327	0.000	0.164	pass
Genesis-20-18	9.693000	14.027755	0.000	0.000	pass
Genesis-21-1	11.159000	16.143673	0.000	0.000	pass
Genesis-21-2	11.530000	16.692245	0.000	0.433	pass
Genesis-21-3	10.570000	15.281633	0.000	0.090	pass
Genesis-21-4	11.368750	16.431020	0.087	0.000	pass
