reference	method	evidence	actual_notion_audio
Genesis-20-10	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-20-10-study.mp3
Genesis-20-11	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-20-11-study.mp3
Genesis-20-12	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-20-12-study.mp3
Genesis-20-13	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-20-13-study.mp3
Genesis-20-14	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-20-14-study.mp3
Genesis-20-15	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-20-15-study.mp3
Genesis-20-16	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-20-16-study.mp3
Genesis-20-17	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-20-17-study.mp3
Genesis-20-18	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-20-18-study.mp3
Genesis-21-1	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-21-1-study.mp3
Genesis-21-2	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-21-2-study.mp3
Genesis-21-3	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-21-3-study.mp3
Genesis-21-4	PocketTorah physical split	https://raw.githubusercontent.com/rneiss/PocketTorah/master/data/audio/Vayera-4.mp3	https://raw.githubusercontent.com/theologia165/torah-audio-temp/main/025/audio/025-Genesis-21-4-study.mp3
