reference	start	end	pockettorah_tokens	boundary_basis
Genesis-19-21	0.000000	12.721000	14	audited low-volume midpoint -20dB 12.648900-12.793100
Genesis-19-22	12.721000	24.691850	17	audited low-volume midpoint -20dB 24.572600-24.811100
Genesis-19-23	24.691850	29.634750	7	audited low-volume midpoint -20dB 29.527400-29.742100
Genesis-19-24	29.634750	40.961250	12	audited low-volume midpoint -20dB 40.886800-41.035700
Genesis-19-25	40.961250	50.639000	13	audited low-volume midpoint -20dB 50.542900-50.735100
Genesis-19-26	50.639000	56.299500	6	audited low-volume midpoint -20dB 56.218200-56.380800
Genesis-19-27	56.299500	65.887900	11	audited low-volume midpoint -20dB 65.461400-66.314400
Genesis-19-28	65.887900	79.918100	17	audited low-volume midpoint -20dB 79.664900-80.171300
Genesis-19-29	79.918100	96.016050	22	audited low-volume midpoint -20dB 95.881200-96.150900
Genesis-19-30	96.016050	112.848000	17	audited low-volume midpoint -20dB 112.791000-112.905000
Genesis-19-31	112.848000	124.669500	14	audited low-volume midpoint -20dB 124.539000-124.800000
Genesis-19-32	124.669500	134.749000	10	audited low-volume midpoint -20dB 134.685000-134.813000
Genesis-19-33	134.749000	151.314000	15	audited low-volume midpoint -20dB 151.039000-151.589000
Genesis-19-34	151.314000	170.402500	21	audited low-volume midpoint -20dB 170.268000-170.537000
Genesis-19-35	170.402500	185.571500	15	audited low-volume midpoint -20dB 185.279000-185.864000
Genesis-19-36	185.571500	190.875500	5	audited low-volume midpoint -20dB 190.754000-190.997000
Genesis-19-37	190.875500	200.547000	11	audited low-volume midpoint -20dB 200.173000-200.921000
Genesis-19-38	200.547000	209.739500	15	audited low-volume midpoint -20dB 209.650000-209.829000
Genesis-20-1	209.739500	223.221500	12	audited low-volume midpoint -20dB 222.896000-223.547000
Genesis-20-2	223.221500	235.371000	14	audited low-volume midpoint -20dB 235.226000-235.516000
Genesis-20-3	235.371000	249.506000	17	audited low-volume midpoint -20dB 249.378000-249.634000
Genesis-20-4	249.506000	259.138500	10	audited low-volume midpoint -20dB 258.994000-259.283000
Genesis-20-5	259.138500	271.820500	18	audited low-volume midpoint -20dB 271.770000-271.871000
Genesis-20-6	271.820500	293.059000	24	audited low-volume midpoint -20dB 293.006000-293.112000
Genesis-20-7	293.059000	308.897000	21	audited low-volume midpoint -20dB 308.834000-308.960000
Genesis-20-8	308.897000	322.912000	15	audited low-volume midpoint -20dB 322.835000-322.989000
Genesis-20-9	322.912000	345.477500	24	audited low-volume midpoint -20dB 345.038000-345.917000
Genesis-20-10	345.477500	352.954000	11	audited low-volume midpoint -20dB 352.457000-353.451000
Genesis-20-11	352.954000	363.097000	14	audited low-volume midpoint -20dB 362.399000-363.795000
Genesis-20-12	363.097000	373.369500	13	audited low-volume midpoint -20dB 373.305000-373.434000
Genesis-20-13	373.369500	396.453500	24	audited low-volume midpoint -20dB 396.388000-396.519000
Genesis-20-14	396.453500	409.207000	13	audited low-volume midpoint -20dB 409.109000-409.305000
Genesis-20-15	409.207000	417.013000	8	audited low-volume midpoint -20dB 416.929000-417.097000
Genesis-20-16	417.013000	433.024500	18	audited low-volume midpoint -20dB 432.960000-433.089000
Genesis-20-17	433.024500	444.286500	12	audited low-volume midpoint -20dB 444.176000-444.397000
Genesis-20-18	444.286500	453.306500	14	audited low-volume midpoint -20dB 453.241000-453.372000
Genesis-21-1	453.306500	465.026000	11	audited low-volume midpoint -20dB 464.947000-465.105000
Genesis-21-2	465.026000	476.748500	11	audited low-volume midpoint -20dB 476.683000-476.814000
Genesis-21-3	476.748500	485.913000	12	audited low-volume midpoint -20dB 485.680000-486.146000
Genesis-21-4	485.913000	497.423750	12	end of source
