reference	duration_seconds
Genesis-8-15	3.813878
Genesis-8-16	6.426122
Genesis-8-17	19.931429
Genesis-8-18	5.407347
Genesis-8-19	9.717551
Genesis-8-20	13.374694
Genesis-8-21	29.048163
Genesis-8-22	16.744490
Genesis-9-1	8.751020
Genesis-9-2	16.744490
Genesis-9-3	8.045714
Genesis-9-4	5.590204
Genesis-9-5	12.173061
Genesis-9-6	7.653878
Genesis-9-7	7.079184
